osmid,highway,street_count,geometry,NN,NN_dist
4334079530,,1,POINT (-77.0688373 -12.093284),605041162,0.0001952822828615963
4334079531,,3,POINT (-77.0690479 -12.0934156),4334079531,0.0
4334079532,,3,POINT (-77.0641921 -12.0878456),263386686,0.00016181399815429293
4334115043,,4,POINT (-77.07138999999999 -12.0973288),4334115044,8.330576210179945e-05
4334115044,,4,POINT (-77.0713597 -12.0972512),4334115044,0.0
4334125520,,1,POINT (-77.0685749 -12.0930549),263386171,0.00011133521455544205
4334125521,,3,POINT (-77.0684553 -12.0930219),263386171,0.0001892201099313471
4334141375,,1,POINT (-77.06659809999999 -12.0906479),380908323,0.0001535393760590925
4334141376,,3,POINT (-77.0664621 -12.0906182),380908323,0.00023230568223940842
4341834795,,3,POINT (-77.05949750000001 -12.0935199),263383329,0.00011084060628884961
4341834800,,3,POINT (-77.05946489999999 -12.0933187),263383329,0.00023314287465086908
4341839202,,3,POINT (-77.0579084 -12.0935756),263381649,0.00022786427978057006
4341853019,,3,POINT (-77.06415730000001 -12.0915916),5728765649,0.0021292086534651063
4341853024,,3,POINT (-77.0643769 -12.0914104),5728765649,0.001847300335626618
4342992425,,3,POINT (-77.064099 -12.0910755),5728765649,0.0018343707286187971
4342992428,,3,POINT (-77.063867 -12.0912396),5728765649,0.002118523698239615
4347743565,,3,POINT (-77.06604 -12.0897477),4347743565,0.0
4347757182,,3,POINT (-77.0595217 -12.0902863),263384616,0.0014213128860333366
4347757183,,3,POINT (-77.0589171 -12.089395),263384500,0.001052960597548458
4347757293,,3,POINT (-77.06000520000001 -12.0893027),263384500,0.0005341290106361964
4347774918,,3,POINT (-77.0663029 -12.0925479),380908323,0.0020690390281473746
